Date,Open,High,Low,Close,Volume,Adj Close
2015-05-15,27459.58008,27928.59961,27315.09961,27822.2793,1754137600,27822.2793
2015-05-14,27395.91992,27397.66992,27192.92969,27286.55078,1522212900,27286.55078
2015-05-13,27473.50,27524.82031,27191.0293,27249.2793,2088818800,27249.2793
2015-05-12,27664.17969,27693.63086,27395.91016,27407.17969,1530000900,27407.17969
2015-05-11,27837.03906,27837.2793,27582.23047,27718.19922,1540963800,27718.19922
2015-05-08,27557.51953,27652.61914,27367.10938,27577.33984,1817614400,27577.33984
2015-05-07,27567.61914,27604.49023,27207.2793,27289.9707,1894753200,27289.9707
2015-05-06,27698.09961,28054.67969,27570.41016,27640.91016,2265508000,27640.91016
2015-05-05,28295.7207,28316.63086,27598.16992,27755.53906,2292680400,27755.53906
2015-05-04,28231.25977,28343.74023,28017.19922,28123.82031,1999728800,28123.82031
2015-05-01,28289.14062,28317.86914,27997.90039,28133.00,000,28133.00
2015-04-30,28289.14062,28317.86914,27997.90039,28133.00,2561272000,28133.00
2015-04-29,28453.09961,28453.09961,28201.75977,28400.33984,2094900800,28400.33984
2015-04-28,28448.2207,28548.44922,28251.99023,28442.75,3045477200,28442.75
2015-04-27,28245.14062,28588.51953,28245.14062,28433.58984,2790074800,28433.58984
2015-04-24,27978.39062,28089.36914,27591.57031,28060.98047,2414041400,28060.98047
2015-04-23,28112.38086,28213.63086,27804.0293,27827.69922,2442203600,27827.69922
2015-04-22,27821.32031,28048.46094,27727.85938,27933.84961,2367949600,27933.84961
2015-04-21,27404.15039,27925.35938,27404.15039,27850.49023,2737826800,27850.49023
2015-04-20,27770.78906,27770.78906,26959.76953,27094.92969,3375884000,27094.92969
2015-04-17,27808.24023,27969.41016,27597.67969,27653.11914,3105824800,27653.11914
2015-04-16,27557.28906,27787.98047,27470.09961,27739.71094,3269721200,27739.71094
2015-04-15,27693.25,27807.98047,27442.51953,27618.82031,3926508000,27618.82031
2015-04-14,27688.25977,27915.00977,27483.44922,27561.49023,3774122400,27561.49023
2015-04-13,27374.33008,28031.96094,27304.11914,28016.33984,4727116000,28016.33984
